date,locator,latitude,longitude,healthy,sick_guess_no_corona,sick_guess_corona,sick_corona_confirmed,recovered_confirmed,recovered_not_confirmed
2020-03-26,1438,46.7668,6.5673,1,0,0,0,0,0
2020-03-26,1673,46.6,6.8173,4,0,0,0,0,0
2020-03-26,1239,46.2707,6.1208,1,0,0,0,0,0
2020-03-26,5400,47.4726,8.309,3,0,0,0,0,1
2020-03-26,1566,46.8967,6.9842,1,0,1,0,0,0
2020-03-26,6003,47.0501,8.297,1,0,0,0,0,0
2020-03-26,1636,46.605,7.0995,2,0,0,0,0,0
2020-03-26,1273,46.4605,6.2074,1,0,0,0,0,0
2020-03-26,1348,46.5819,6.2102,1,0,0,0,0,0
2020-03-26,1734,46.7704,7.1977,0,0,0,0,0,1
2020-03-26,1241,46.2099,6.2324,2,0,1,0,0,0
2020-03-26,6924,46.0003,8.9348,1,0,0,0,0,0
2020-03-26,1292,46.2407,6.1469,3,0,0,0,0,1
2020-03-26,1076,46.589,6.7857,1,0,0,0,0,0
2020-03-26,1428,46.8866,6.7269,1,0,0,0,0,0
2020-03-26,6595,46.1783,8.888,1,0,0,0,0,0
2020-03-26,1595,46.9041,7.0843,1,0,0,0,0,0
2020-03-26,1435,46.7278,6.5839,1,0,0,0,0,0
2020-03-26,1562,46.8316,6.9612,2,0,0,0,0,0
2020-03-26,1532,46.7971,6.9155,1,0,0,0,0,0
2020-03-26,1730,46.7581,7.0869,2,0,0,0,0,0
2020-03-26,3961,46.1965,7.5945,3,0,0,0,0,0
2020-03-26,1216,46.2244,6.1055,2,0,0,0,0,0
2020-03-26,1258,46.156,6.0877,0,0,1,0,0,0
2020-03-26,1255,46.1668,6.1861,3,0,0,0,0,0
2020-03-26,4532,47.2212,7.5528,1,0,0,0,0,0
2020-03-26,3073,46.9351,7.5093,1,0,0,0,0,0
2020-03-26,1420,46.8263,6.6236,1,0,0,0,0,0
2020-03-26,1933,46.0732,7.144,1,0,0,0,0,0
2020-03-26,1036,46.5943,6.5671,5,1,1,0,0,0
2020-03-26,1279,46.3491,6.1643,1,0,0,0,0,0
2020-03-26,1464,46.7741,6.773,1,0,1,0,0,0
2020-03-26,1923,46.1068,7.0038,3,0,0,0,0,0
2020-03-26,1377,46.6436,6.5783,1,0,0,0,0,0
2020-03-26,1168,46.5104,6.4286,1,0,0,0,0,0
2020-03-26,1244,46.2281,6.2266,4,0,0,0,0,0
